TL	ML	BL	TR	MR	BR
3	3	3	3	3	3
3	3	3	3	3	3
1	0	1	1	0	1
2	0	2	2	0	2
0	0	0	0	0	0
3	1	3	3	1	3
0	0	0	0	0	0
0	2	0	0	2	0
0	0	0	0	0	0
D	3	A	D	3	A
1	0	1	1	0	1
2	0	2	2	0	2
0	0	0	0	0	0
0	1	0	0	1	0
0	0	0	0	0	0
3	0	3	3	0	3
0	0	0	0	0	0
0	A	0	0	A	0
0	D	0	0	D	0
2	0	2	2	0	2
0	0	0	0	0	0
3	1	3	3	1	3
0	0	0	0	0	0
0	2	0	0	2	0
0	0	0	0	0	0
D	3	A	D	3	A
1	0	1	1	0	1
2	0	2	2	0	2
M	0	M	M	0	M
0	1	0	0	1	0
0	0	0	0	0	0
3	0	3	3	0	3
0	0	0	0	0	0
A	A	A	A	A	A
D	D	D	D	D	D
M	M	M	M	M	M
0	0	0	0	0	0
0	1	0	0	1	0
0	0	1	1	0	0
1	2	0	0	2	1
0	0	2	2	0	0
2	3	0	0	3	2
0	0	3	3	0	0
3	0	0	0	0	3
1	0	0	0	0	1
0	0	0	0	0	0
0	0	0	0	0	0
2	0	0	0	0	2
3	0	0	0	0	3
A	A	A	A	A	A
D	D	D	D	D	D
M	M	M	M	M	M
0	0	0	0	0	0
0	1	0	0	1	0
0	0	1	1	0	0
1	2	0	0	2	1
0	0	2	2	0	0
2	3	0	0	3	2
0	0	3	3	0	0
3	0	0	0	0	3
1	0	0	0	0	1
0	0	0	0	0	0
0	0	0	0	0	0
2	0	0	0	0	2
3	0	0	0	0	3
A	A	A	A	A	A
D	D	D	D	D	D
M	0	0	0	0	0
0	0	0	0	0	M
0	M	0	0	0	0
0	0	0	0	M	0
0	0	M	M	0	0
3	3	3	3	3	3
0	0	0	0	0	0
1	0	1	1	0	1
2	0	2	2	0	2
0	0	0	0	0	0
3	1	3	3	1	3
0	0	0	0	0	0
0	2	0	0	2	0
0	0	0	0	0	0
D	3	A	D	3	A
1	0	1	1	0	1
2	0	2	2	0	2
0	0	0	0	0	0
0	1	0	0	1	0
0	0	0	0	0	0
3	0	3	3	0	3
0	0	0	0	0	0
0	A	0	0	A	0
0	D	0	0	D	0
2	0	2	2	0	2
0	0	0	0	0	0
3	1	3	3	1	3
0	0	0	0	0	0
0	2	0	0	2	0
0	0	0	0	0	0
D	3	A	D	3	A
1	0	1	1	0	1
2	0	2	2	0	2
M	0	M	M	0	M
0	1	0	0	1	0
0	0	0	0	0	0
3	0	3	3	0	3
0	0	0	0	0	0
A	A	A	A	A	A
D	D	D	D	D	D
M	M	M	M	M	M
0	0	0	0	0	0
0	1	0	0	1	0
0	0	1	1	0	0
1	2	0	0	2	1
0	0	2	2	0	0
2	3	0	0	3	2
0	0	3	3	0	0
3	0	0	0	0	3
1	0	0	0	0	1
0	0	0	0	0	0
0	0	0	0	0	0
2	0	0	0	0	2
3	0	0	0	0	3
A	A	A	A	A	A
D	D	D	D	D	D
M	M	M	M	M	M
0	0	0	0	0	0
0	1	0	0	1	0
0	0	1	1	0	0
1	2	0	0	2	1
0	0	2	2	0	0
2	3	0	0	3	2
0	0	3	3	0	0
3	0	0	0	0	3
1	0	0	0	0	1
0	0	0	0	0	0
0	0	0	0	0	0
2	0	0	0	0	2
3	0	0	0	0	3
A	A	A	A	A	A
D	D	D	D	D	D
3	3	3	3	3	3
M	M	M	M	M	M

