BPM	150					
index	2					
Background	Dungeon					
Name	ACollerTest					
songFileName	ImortalChopped					
GroundSpeed	0.2					
						
						
TL	BL	TR	BR	BossStatePlusZoom	PLR ATK Chance	SpecialMoves
3	3	3	3	1		
0	0	0	0	0		
0	0	0	0	0		
0	1	1	0	1		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	2	2	0	2		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
1	3	3	1	1		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
2	0	0	2	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
3	0	0	3	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
1	0	0	0	0		
0	0	0	0	0		
2	0	1	0	0		
0	1	0	0	0		
3	0	2	1	0		
0	2	0	0	0		
0	0	3	2	0		
0	3	0	0	0		
0	0	0	3	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
1	0	0	1	0		
2	0	0	2	2		
3	1	1	3	0		
0	2	2	0	0		
1	3	3	1	0		
2	0	0	2	0		
3	1	1	3	0		
D	2	2	A	0		
1	3	3	1	0		
2	A	D	2	0		
3	1	1	3	0		
Z	2	2	C	0		
1	3	3	1	0		
2	Z	C	2	0		
3	1	1	3	0		
0	2	2	0	0		
0	3	3	0	0		
M	M	M	M	0		
1	0	0	1	0		
2	0	0	2	0		
3	0	0	3	0		
1	0	0	0	0		
0	0	1	0	0		
2	0	0	0	0		
0	0	2	1	0		
3	0	0	0	1		
0	0	3	2	0		
D	D	D	0	0		
1	1	1	3	0		
0	0	0	0	0		
2	2	2	0	0		
3	3	3	0	0		
M	M	M	M	0		
1	1	0	1	2		
0	0	0	0	0		
2	2	0	2	0		
3	3	0	3	0		
1	0	1	1	0		
0	0	0	0	0		
2	0	2	2	0		
3	0	3	3	0		
1	1	1	0	0		
0	0	0	0	0		
2	2	2	0	0		
3	3	3	0	0		
0	1	1	1	0		
0	0	0	0	0		
0	2	2	2	0		
0	0	0	0	0		
0	3	3	3	1		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
Q	Q	Q	Q	0		
A	A	A	A	0		
Z	Z	Z	Z	0		
M	0	0	0	0		
M	M	M	M	0		
M	M	M	M	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
M	M	M	M	0		
1	M	M	1	0		
2	0	0	2	3		
0	0	0	0	0		
2	2	3	3	0		
3	3	2	2	0		
2	2	3	3	0		
3	3	2	2	0		
2	3	2	3	0		
0	3	3	0	0		
0	2	2	2	0		
0	3	3	3	0		
M	M	M	M	0		
1	1	0	1	0		
2	2	0	2	0		
0	0	0	0	0		
3	3	0	3	0		
1	0	0	1	0		
2	0	0	2	2		
3	1	1	3	0		
0	2	2	0	0		
1	3	3	1	0		
2	0	0	2	0		
3	1	1	3	0		
D	2	2	A	0		
1	3	3	1	0		
2	A	D	2	0		
3	1	1	3	0		
Z	2	2	C	0		
1	3	3	1	0		
2	Z	C	2	0		
3	1	1	3	0		
0	2	2	0	0		
0	3	3	0	0		
M	M	M	M	0		
0	0	0	0	0		
D	A	D	A	0		
1	1	1	1	0		
2	2	2	2	0		
0	0	0	0	0		
3	3	3	3	0		
1	0	0	1	0		
2	0	0	2	0		
3	1	1	3	0		
0	2	2	0	0		
1	3	3	1	0		
2	0	0	2	0		
3	1	1	3	0		
A	2	2	A	0		
1	3	3	1	0		
2	M	M	2	0		
3	1	1	3	0		
Z	2	2	C	0		
1	3	3	1	0		
2	Z	C	2	0		
3	1	1	3	0		
0	2	2	0	0		
0	3	3	0	0		
M	M	M	M	0		
0	0	0	0	0		
0	1	0	1	0		
0	0	0	0	0		
0	2		2	0		
0		0	0	0		
3	3	3	3	0		
0	0	0	0	0		
0	0	0	0	1		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
0	0	0	0	0		
